x1,x2,omega1,omega2,h
163.966,99.5271,17.7573,48.1783,-713.274
10.2087,147.314,108.819,63.0577,945.753
83.22,112.713,124.793,182.243,1121.54
11.6012,114.945,151.822,5.96032,909.219
83.2012,14.5048,124.793,5.96032,-248.112
127.808,201.905,93.7169,127.669,-757.936
19.9564,141.9,161.326,106.283,1749.28
197.54,165.397,93.7169,127.669,-1588.15
159.73,71.2268,72.3308,26.2104,-956.158
215.055,79.2785,119.266,133.724,-1275.04
156.817,163.478,72.3308,216.317,-252.197
137.065,191.981,124.793,26.2104,-1675.97
166.329,103.668,72.3308,91.1813,-1357.48
77.9605,36.1321,66.2755,69.3594,-144.729
197.298,13.1425,103.763,167.038,-521.786
112.035,69.2301,173.79,101.253,456.873
57.7534,19.689,216.317,101.253,2057.39
108.653,83.3588,194.04,26.2104,-86.696
114.955,100.785,72.3308,167.038,91.8505
165.249,167.134,194.04,26.2104,-1440.51
3.44329,149.395,151.822,48.1783,1340.44
159.761,157.414,161.326,116.593,-726.16
50.6033,66.4718,216.317,167.038,2656.8
128.272,183.578,83.4073,101.253,-1017.14
58.4418,90.1406,93.7169,156.32,1087.85
62.3251,38.6971,108.819,96.2365,773.912
174.122,7.17266,52.2917,111.377,-890.443
207.313,162.38,108.819,101.253,-1886.46
135.592,182.723,108.819,167.038,-305.893
155.092,28.3027,52.2917,63.0577,-775.827
0.650913,89.9016,43.6804,69.3594,759.075
203.524,52.0606,17.7573,127.669,-849.359
192.477,141.497,59.6789,75.2075,-1332.73
83.7218,84.1364,52.2917,127.669,81.7921
127.419,183.49,103.763,48.1783,-1413.47
120.684,32.1489,113.966,182.243,688.055
30.7749,122.583,216.317,91.1813,2030.71
100.695,208.558,72.3308,101.253,-797.436
69.2772,136.551,52.2917,56.1052,-641.284
134.895,174.267,52.2917,121.996,-1051.88
84.4812,44.1053,72.3308,96.2365,37.1919
92.5499,30.8186,17.7573,167.038,357.948
28.4679,192.186,194.04,91.1813,1571.04
15.4208,79.2786,43.6804,56.1052,403.168
169.944,98.8017,72.3308,48.1783,-1156.68
175.541,202.173,83.4073,96.2365,-1803.46
147.472,197.236,124.793,63.0577,-1474.21
102.264,109.792,72.3308,156.32,126.315
164.018,100.307,119.266,147.708,-504.803
95.3347,178.959,194.04,116.593,674.462
214.211,207.108,130.641,127.669,-1766.84
116.621,111.632,161.326,75.2075,-180.375
125.148,190.215,43.6804,91.1813,-1339.03
188.63,155.294,98.7466,133.724,-1332.28
160.952,4.14305,151.822,127.669,-82.2827
100.541,14.1471,173.79,106.283,934.399
144.886,148.005,130.641,101.253,-824.049
187.897,193.134,59.6789,167.038,-1374.64
97.7254,214.692,108.819,48.1783,-1047.85
68.5139,111.681,66.2755,96.2365,-45.9013
101.454,175.043,173.79,91.1813,123.357
216.808,33.3322,88.6228,63.0577,-1081.52
0.129124,0.190743,119.266,116.593,2355.5
69.2615,90.646,143.895,133.724,1166.9
44.5418,181.503,130.641,127.669,1055.33
20.5171,17.7371,130.641,147.708,2343.23
46.4059,46.3397,143.895,116.593,1584.21
206.619,205.617,43.6804,86.034,-1500.67
150.201,61.6356,88.6228,69.3594,-1124.02
91.6738,61.2278,143.895,140.321,947.119
41.6258,213.362,59.6789,5.96032,-946.32
29.6107,86.3972,72.3308,147.708,1321.81
179.753,34.2277,119.266,56.1052,-1314.58
50.691,22.0553,216.317,69.3594,1856.11
151.034,172.465,66.2755,116.593,-1240.75
145.286,137.454,130.641,133.724,-462.732
49.2607,69.1748,32.9622,111.377,345.197
165.478,114.169,130.641,38.6736,-1602.79
71.5376,152.549,108.819,111.377,304.088
105.316,186.669,52.2917,56.1052,-1346.29
160.362,68.5736,151.822,106.283,-545.605
67.4303,127.622,52.2917,106.283,-77.931
56.1689,80.3391,103.763,91.1813,617.052
103.269,84.1594,88.6228,96.2365,-288.309
80.234,55.1011,72.3308,26.2104,-647.592
111.524,158.108,124.793,121.996,-171.986
99.9713,204.015,136.942,182.243,576.305
112.221,143.514,83.4073,96.2365,-682.335
214.071,32.6355,93.7169,116.593,-1345.9
117.551,113.449,124.793,80.734,-514.452
59.5035,139.526,151.822,5.96032,-51.349
57.8551,210.509,108.819,167.038,875.138
150.603,98.8981,72.3308,156.32,-506.856
34.8825,153.408,151.822,5.96032,336.302
126.385,163.121,130.641,91.1813,-709.202
60.654,163.588,216.317,127.669,1693.74
107.565,17.342,59.6789,5.96032,-562.255
169.909,162.029,59.6789,167.038,-998.396
126.899,112.51,93.7169,5.96032,-1218.17
84.5717,46.8342,32.9622,106.283,-110.737
143.015,153.922,88.6228,116.593,-920.23
177.057,80.7044,108.819,75.2075,-1396.63
2.02841,22.524,130.641,75.2075,1931.87
47.8887,11.9955,108.819,140.321,1581.42
157.057,64.4538,32.9622,56.1052,-732.336
99.2041,112.838,32.9622,96.2365,-680.069
62.0495,180.909,98.7466,48.1783,-371.278
147.813,71.865,130.641,111.377,-459.221
117.699,0.359659,32.9622,216.317,711.718
81.9284,106.254,161.326,5.96032,-226.862
147.415,116.37,113.966,133.724,-508.25
211.218,40.8558,17.7573,48.1783,-469.139
131.852,27.3274,83.4073,116.593,-288.863
77.4527,181.868,108.819,182.243,788.993
54.5815,92.0809,216.317,69.3594,1505.98
53.0752,165.054,151.822,167.038,1573.02
57.2056,144.414,130.641,96.2365,661.414
24.6676,118.694,43.6804,63.0577,148.59
130.061,93.7241,17.7573,56.1052,-730.136
81.4423,181.457,43.6804,127.669,-327.244
6.43086,17.4366,52.2917,216.317,2500.59
202.685,54.2837,103.763,140.321,-1028.93
108.49,162.588,83.4073,140.321,-265.56
164.219,7.89177,124.793,127.669,-305.187
122.085,141.619,66.2755,63.0577,-1247.43
48.7819,50.7111,119.266,86.034,972.083
161.471,34.6674,124.793,56.1052,-1089.45
27.113,205.967,32.9622,121.996,237.676
198.343,3.89396,103.763,116.593,-1003.88
107.758,11.6517,113.966,133.724,490.648
167.512,14.1823,98.7466,101.253,-796.882
101.5,71.4052,98.7466,216.317,1049.03
44.5591,37.1893,98.7466,133.724,1373.89
209.373,55.3258,88.6228,182.243,-798.358
114.215,34.738,32.9622,48.1783,-588.749
182.622,79.978,103.763,38.6736,-1296.68
154.84,125.16,93.7169,80.734,-1298.75
181.542,151.855,161.326,133.724,-843.8
131.416,78.5721,88.6228,182.243,200.054
87.1672,52.1756,108.819,96.2365,272.84
102.506,62.8793,43.6804,91.1813,-512.712
174.038,114.454,43.6804,63.0577,-1046.03
52.8938,154.409,124.793,156.32,1241.39
17.5782,99.7685,72.3308,86.034,868.166
106.621,0.700645,66.2755,140.321,305.361
92.2665,40.541,72.3308,121.996,200.047
172.701,205.292,216.317,48.1783,-1284.82
13.8454,75.4057,59.6789,116.593,1211.88
179.207,181.051,78.0043,101.253,-1752.54
174.052,137.093,136.942,80.734,-1356.11
33.2694,166.453,32.9622,26.2104,-671.706
201.626,47.8519,32.9622,101.253,-846.637
151.833,153.302,66.2755,38.6736,-1288.73
154.411,82.1055,103.763,69.3594,-1174
94.6329,101.881,66.2755,63.0577,-704.155
96.4607,7.43075,161.326,216.317,2010.42
163.439,128.375,108.819,5.96032,-1398.16
50.3609,116.427,151.822,80.734,953.353
214.249,209.819,93.7169,91.1813,-1947.87
67.6183,32.2007,161.326,156.32,1830.53
101.572,202.225,216.317,116.593,691.899
117.513,124.299,130.641,147.708,171.059
178.229,33.7248,52.2917,182.243,-493.934
23.8742,20.9488,32.9622,80.734,623.431
121.842,185.942,103.763,5.96032,-1595.29
159.967,151.566,103.763,121.996,-1003.26
145.605,75.0542,17.7573,56.1052,-652.347
199.882,48.0995,32.9622,48.1783,-625.061
36.3069,5.71571,88.6228,111.377,1323.61
154.872,16.7794,130.641,140.321,-48.2694
201.744,93.4068,113.966,182.243,-691.826
199.474,130.555,103.763,147.708,-1215.2
106.507,35.028,136.942,101.253,324.715
59.2955,115.32,216.317,111.377,1748.35
21.1429,119.076,130.641,121.996,1669.49
107.442,124.033,119.266,121.996,-17.4765
32.8141,108.994,113.966,96.2365,1075.4
11.2008,113.288,136.942,5.96032,774.261
53.1959,23.2582,83.4073,5.96032,-156.882
129.586,132.611,88.6228,106.283,-750.075
111.353,105.61,194.04,140.321,916.81
88.4357,105.646,124.793,127.669,510.19
115.921,60.0324,98.7466,127.669,6.14663
152.631,115.116,119.266,75.2075,-1129.63
89.7282,129.652,194.04,63.0577,437.256
147.884,178.195,143.895,182.243,-97.3562
31.1795,195.196,108.819,63.0577,376.749
1.04499,203.098,72.3308,121.996,1112.06
60.5275,206.678,72.3308,156.32,370.298
90.3752,152.436,103.763,48.1783,-717.08
166.26,21.6708,93.7169,38.6736,-984.339
64.4629,164.404,98.7466,80.734,-23.1425
12.0665,124.381,83.4073,80.734,926.693
24.841,211.433,103.763,63.0577,375.34
79.7247,174.666,161.326,101.253,492.09
12.5259,32.3876,59.6789,48.1783,723.557
191.764,92.037,98.7466,86.034,-1500.86
66.9071,13.0509,93.7169,121.996,900.595
199.53,195.564,151.822,167.038,-994.366
124.22,6.81462,143.895,56.1052,-263.217
186.972,60.152,151.822,106.283,-884.454
84.4503,176.181,161.326,111.377,502.206
91.1483,125.83,108.819,182.243,766.625
73.3644,41.132,136.942,167.038,1554.71
190.778,15.8126,136.942,127.669,-635.798
77.9853,19.4981,130.641,156.32,1387.87
20.925,146.408,59.6789,91.1813,546.319
190.568,166.951,113.966,147.708,-1174.87
190.616,105.564,119.266,167.038,-704.901
83.0285,149.204,43.6804,86.034,-636.793
31.0965,103.648,52.2917,26.2104,-189.308
84.8398,211.766,130.641,63.0577,-437.197
197.186,78.6408,119.266,127.669,-1082.88
93.0655,15.9519,161.326,140.321,1277.49
97.8094,108.426,103.763,101.253,-144.103
65.1264,31.7245,136.942,182.243,1892.68
211.027,88.5745,43.6804,38.6736,-832.701
180.864,42.9833,66.2755,216.317,-143.2
73.5889,124.922,52.2917,56.1052,-655.131
93.9344,79.9,98.7466,111.377,90.8195
93.1956,32.2869,88.6228,116.593,263.777
151.48,87.3946,124.793,216.317,441.625
172.164,81.2121,161.326,147.708,-290.102
138.676,140.289,17.7573,96.2365,-1083.23
81.888,77.6148,124.793,140.321,866.693
150.509,31.4427,88.6228,80.734,-893.817
185.397,68.2897,78.0043,121.996,-1180.74
1.21264,199.82,52.2917,116.593,867.737
74.7469,57.317,88.6228,101.253,324.051
26.9928,137.712,78.0043,147.708,1220.41
81.7692,33.8244,32.9622,96.2365,-119.928
2.50214,172.489,136.942,121.996,1854.38
90.1766,69.5727,113.966,75.2075,-9.73451
182.724,50.3213,103.763,127.669,-860.141
10.8593,16.0255,98.7466,86.034,1588.24
180.441,91.6939,66.2755,111.377,-1341.93
39.3195,77.5831,151.822,75.2075,1252.21
80.0818,100.484,194.04,111.377,1210.76
88.0556,10.9545,119.266,182.243,1386.27
162.384,187.525,98.7466,111.377,-1317.22
144.372,180.843,52.2917,38.6736,-1285.72
213.101,4.10478,113.966,121.996,-1096.08
209.996,113.507,194.04,56.1052,-1668.68
128.13,181.647,72.3308,127.669,-809.723
158.507,139.537,151.822,121.996,-646.362
144.12,70.1841,83.4073,106.283,-735.141
199.199,60.0369,161.326,96.2365,-1098.61
90.2736,181.493,194.04,38.6736,-23.7661
114.181,116.303,216.317,80.734,450.038
143.848,52.7806,151.822,182.243,540.261
27.3493,53.5933,194.04,111.377,2347.51
35.3619,181.411,173.79,56.1052,936.788
181.993,145.748,119.266,116.593,-1249.37
144.814,25.0866,88.6228,156.32,-32.8173
136.439,98.6367,17.7573,121.996,-978.199
76.2522,185.553,113.966,5.96032,-915.488
125.085,13.0113,88.6228,121.996,-51.5465
96.0493,38.2832,136.942,69.3594,180.996
215.355,128.933,43.6804,167.038,-1532.4
105.725,123.547,17.7573,127.669,-591.1
149.425,44.0854,173.79,91.1813,-216.282
205.525,53.0131,103.763,69.3594,-1313.12
27.578,208.632,194.04,96.2365,1571.83
1.52072,169.797,161.326,63.0577,1537.28
139.178,124.428,32.9622,216.317,-85.2583
178.944,108.902,52.2917,48.1783,-1030.96
114.241,25.6922,124.793,101.253,101.36
60.2361,83.9155,173.79,121.996,1537.94
52.7313,26.7874,88.6228,147.708,1307
43.664,184.167,136.942,121.996,1066.76
40.7914,78.3299,17.7573,38.6736,-391.12
144.601,126.07,143.895,127.669,-388.634
63.3837,36.6968,83.4073,48.1783,28.1631
87.834,192.373,66.2755,121.996,-381.558
94.8812,151.822,113.966,80.734,-368.149
184.248,61.2417,151.822,140.321,-510.294
115.776,15.8809,72.3308,56.1052,-689.357
26.5219,35.7181,216.317,133.724,2880.15
46.3442,94.1624,93.7169,140.321,1129.53
23.0114,57.7842,17.7573,182.243,1375.67
55.8828,46.4197,103.763,140.321,1249.28
45.1628,201.49,78.0043,86.034,21.4922
124.96,77.3245,143.895,116.593,46.2961
24.7612,171.677,173.79,56.1052,1166.54
162.309,24.8529,130.641,5.96032,-1163.24
75.0582,82.9836,173.79,121.996,1274.87
3.85937,198.418,66.2755,80.734,606.955
158.406,180.447,143.895,86.034,-1215.77
74.5232,204.429,161.326,48.1783,-64.0866
17.5022,124.1,88.6228,80.734,882.126
107.045,177.358,143.895,156.32,365.901
76.4522,75.7671,124.793,91.1813,480.53
135.875,161.574,78.0043,167.038,-410.143
54.6743,132.817,52.2917,140.321,420.255
132.032,27.3251,161.326,75.2075,-120.546
56.8242,27.3487,88.6228,48.1783,235.78
15.3962,99.5843,66.2755,133.724,1324.53
42.8614,148.416,216.317,63.0577,1428.58
33.1061,26.0783,43.6804,156.32,1299.78
9.87791,13.0769,151.822,182.243,3110.53
173.853,49.365,151.822,48.1783,-1238.69
142.18,11.6587,88.6228,111.377,-391.643
89.7468,6.90893,216.317,147.708,1997.18
188.165,145.624,43.6804,216.317,-791.548
155.576,127.967,151.822,63.0577,-1148.42
0.341475,97.1756,66.2755,63.0577,898.483
4.87419,111.429,93.7169,182.243,2226.14
172.27,132.255,88.6228,156.32,-845.87
141.89,139.833,83.4073,116.593,-879.426
214.188,45.0816,72.3308,5.96032,-755.634
81.7946,26.1899,124.793,111.377,784.636
127.119,117.744,98.7466,48.1783,-1176.38
17.7061,78.6827,103.763,167.038,2074.57
182.642,198.121,43.6804,75.2075,-1430.01
176.482,173.138,151.822,216.317,-89.194
139.335,150.582,151.822,96.2365,-629.77
42.0185,87.1374,151.822,96.2365,1375.7
82.1225,112.318,194.04,96.2365,975.285
213.929,29.7277,66.2755,167.038,-1045.88
60.5463,88.8134,98.7466,127.669,819.071
65.9533,41.8043,136.942,5.96032,74.6491
155.754,88.6719,151.822,69.3594,-930.722
125.222,137.348,143.895,133.724,-27.1907
136.231,75.1756,143.895,5.96032,-1254.32
114.927,69.1252,98.7466,101.253,-280.472
86.6139,83.9601,161.326,48.1783,200.157
99.1427,166.12,161.326,26.2104,-573.682
217,216.803,78.0043,216.317,-1274.01
172.859,43.1831,136.942,80.734,-963.763
54.6173,43.7509,119.266,106.283,1097.38
162.251,131.94,113.966,101.253,-1102.95
120.387,31.8277,216.317,140.321,1272.11
53.4472,124.043,43.6804,106.283,80.4804
15.0526,183.287,83.4073,121.996,1049.94
31.5519,161.464,161.326,80.734,1206.81
126.951,120.533,124.793,91.1813,-598.878
200.688,133.222,103.763,116.593,-1554.01
134.695,74.5372,72.3308,5.96032,-889.355
132.527,91.9744,17.7573,56.1052,-722.644
81.1522,79.3447,113.966,133.724,698.787
126.536,90.742,88.6228,38.6736,-1216
148.681,122.384,43.6804,80.734,-1157.06
211.475,13.0724,161.326,106.283,-982.147
215.303,119.245,98.7466,38.6736,-1406.07
103.072,12.8783,130.641,48.1783,-118.612
95.3738,186.297,98.7466,167.038,195.926
26.9697,183.653,216.317,106.283,2005.94
142.411,211.183,59.6789,121.996,-1260.46
30.2032,61.4832,98.7466,48.1783,679.659
184.929,13.6463,216.317,111.377,-106.364
101.267,61.2442,194.04,182.243,1695.04
187.952,43.1028,98.7466,91.1813,-1299.45
176.687,145.984,88.6228,133.724,-1188.57
68.135,36.5607,136.942,127.669,1273.44
35.9709,0.828599,130.641,182.243,2478.04
42.9774,145.015,59.6789,56.1052,-195.813
70.1789,101.332,124.793,101.253,591.912
188.885,96.5912,83.4073,38.6736,-1194.96
204.41,191.47,52.2917,121.996,-1666.17
36.9652,3.48818,124.793,63.0577,1199.18
78.3788,121.766,59.6789,38.6736,-839.557
5.17781,6.51873,216.317,69.3594,2737.49
198.169,118.786,173.79,167.038,-536.402
176.729,203.244,59.6789,101.253,-1692.26
102.37,163.474,113.966,106.283,-294.074
111.313,82.5526,83.4073,56.1052,-827.098
1.03679,65.4015,151.822,216.317,3401.12
183.047,54.3273,98.7466,167.038,-517.104
91.7826,153.74,136.942,147.708,579.46
114.047,19.8628,93.7169,106.283,-50.9709
57.4592,66.8054,93.7169,140.321,1038.89
134.686,140.04,59.6789,133.724,-750.445
40.005,98.7782,83.4073,48.1783,200.653
200.892,88.7655,108.819,56.1052,-1442.84
122.618,213.839,17.7573,56.1052,-1212.08
67.0787,76.8888,52.2917,80.734,-125.567
82.3694,139.179,59.6789,80.734,-544.472
72.7174,16.9725,119.266,5.96032,-124.539
62.4681,54.8399,108.819,101.253,756.937
70.6506,0.361164,93.7169,121.996,883.971
69.0877,207.347,216.317,38.6736,476.943
213.851,25.2679,83.4073,56.1052,-977.883
170.406,47.8247,32.9622,216.317,-216.036
94.9398,52.7333,43.6804,69.3594,-584.415
191.46,184.808,78.0043,106.283,-1786.96
164.45,195.733,124.793,106.283,-1273.64
50.7672,216.629,161.326,133.724,1170.18
64.9921,161.778,72.3308,86.034,-233.324
93.0083,139.241,216.317,140.321,1335.27
39.468,187.349,98.7466,38.6736,-85.6203
194.874,63.1831,103.763,182.243,-535.958
118.059,180.255,119.266,216.317,509.758
211.639,166.05,32.9622,56.1052,-1127.81
112.501,81.4698,161.326,5.96032,-678.028
49.6,129.538,216.317,56.1052,1313.28
18.3957,168.606,173.79,106.283,1795.18
11.2701,191.734,143.895,127.669,1745.85
58.5721,108.451,32.9622,216.317,1107.14
204.988,149.666,130.641,133.724,-1347.42
176.927,61.3736,173.79,56.1052,-1118.68
152.591,86.6498,103.763,167.038,-189.911
45.5839,118.995,59.6789,167.038,970.675
175.054,51.1759,88.6228,69.3594,-1187.71
