x1,x2,x3,x4,omega1,omega2,omega3,h
6.06445,8.47936,1.36262e-07,8.7649e-08,0,0.52,3,24.48
1.20303,7.19798,3.59899,1.19319e-07,2.68,2.68,3.72,164.083
0.00191587,7.56187,1.09355,8.25848,0.2,2.08,2.68,67.6445
6.03287,2.91525,9.51891e-09,6.5441,2.72,2.32,3.72,180.724
6.36386,9.2443e-08,6.74218e-09,9.39357,1.64,2.8,3.64,149.934
5.40064,9.52262e-08,1.46389e-08,10.9989,1.28,2.52,3,125.779
3.15354e-08,7.09588,4.09041,0.813709,2.88,3,2.6,175.419
2.49948,4.00702,3.39951,2.09399,1.72,3.04,1.88,127.829
1.18951e-08,12.4431,2.88985e-08,5.48303,1.92,3.56,3.6,198.72
0.993571,2.73372,4.1292,4.14351,1.24,3.92,1.96,128.824
4.77117,1.14133,7.6188e-09,10.7165,2,1.52,1.08,120.8
7.13149,1.72646e-08,4.78336e-09,8.11419,0.2,3.04,3.08,93.28
3.41318,12.2226,0.0193662,1.43837e-07,3.44,2.48,2.92,217.582
0.0578721,8.68455,1.30561e-08,9.77157,1.2,1.4,2.04,100.691
7.3333,4.32672,0.326483,1.85937,1.04,1.64,2.12,86.8281
0.435307,2.79202,2.70131,8.81364,2.28,3.2,0.12,155.308
6.97512,1.59818e-08,5.14328e-09,8.3748,2.2,3.56,2.48,185.257
4.19075e-08,6.37697,2.92152e-08,12.5602,0.52,0.36,1.08,37.98
8.12585e-08,12.855,1.87593,4.32011e-08,3.72,0.92,0.72,171.093
3.12449,5.13228e-08,0.751202,12.7893,2.72,1.52,1.52,150.909
1.345e-07,16.2586,0.386845,3.03797e-06,2.36,3.8,2.2,213.671
2.07528,14.1782,2.1968e-08,6.03193e-07,2.24,1,1.92,126.064
4.27784,6.30962,2.06589,7.49935e-07,1.24,2.48,0.48,97.1557
1.88208e-08,14.754,1.03407,0.0294672,1.88,1.52,0.8,115.797
12,3.85772e-08,7.37559e-09,5.367e-08,3.76,1.64,0.52,191.84
7.30362,3.25454,1.12355e-08,4.03034,1.44,1,0.52,83.68
1.08304e-08,7.81964,4.01804,0.162325,3.2,3.72,2.6,208.159
2.66827,9.8135,0.173499,3.64114,3.44,1.88,2,198.963
2.44777,3.94729,2.24923e-08,11.3152,3.8,2.52,1.72,236.186
4.84638,6.1572,5.09859e-09,4.73929,3.8,3.4,1.12,245.701
1.4202,8.16295,2.71543e-08,8.10956,2.28,3.48,1.76,197.379
8.94851,4.35927,1.12245e-08,1.35194e-08,2.8,2.96,0.04,183.2
3.08898,7.81126e-08,1.44947,10.9865,2.84,1.92,2.64,164.598
0.244622,13.6536,1.182e-08,3.66307,3.56,2.16,0.52,219.637
1.20606,4.07966,3.90961,2.80467,1.24,2.04,3.52,93.2665
6.40932,7.98669,5.686e-09,1.52164e-08,0.84,3.96,0.6,131.04
1.51761,8.86408,2.67226,0.0031799,3.08,2.88,1.24,181.832
1.56035e-08,2.44846e-08,4.31954,8.48123,3.32,2.8,3.28,202.886
1.03531e-07,11.5854,1.9046,1.40471,0.84,0.84,0.32,44.156
5.7981,8.85985,7.50726e-09,2.67213e-07,1.04,2.76,1.12,112.32
11.3223,0.451792,0.225896,3.5641e-07,0.76,0.04,0.76,32.5928
7.77472,1.26675e-07,1.69011,2.53517,1.56,2.4,0.68,109.615
2.53577,6.80914,4.9518e-07,7.82971,0.92,0.4,0.84,49.76
5.69961e-08,10.432,1.0377,5.06214,3,2.64,2.52,204.13
3.93542,6.4673,1.22051,2.6411,2.76,0.44,3.04,123.898
0.0792496,10.4654,0.861705,5.36036,2.8,0.56,0.64,132.402
4.23125,1.77698,1.61885,6.55785,2.92,1.24,0.52,135.689
2.87189,5.44539,1.53638,4.76355,1.72,1,1.48,86.429
3.918e-08,8.26024,1.69516,5.84263,1.08,0.28,1.44,45.9803
0.618574,12.7865,4.04402e-08,4.05146,2.88,2.88,3.76,221.187
0.239815,11.419,9.20252e-09,6.27818,2.04,2.64,1.6,169.081
7.54027,8.9046e-09,5.97683e-09,7.43288,1.36,2.16,2.08,114.56
7.83554,8.59769e-08,1.67136e-07,6.94076,2.16,3.64,1.04,177.92
1.5896e-08,8.8454,2.05687,4.1954,1.8,3.24,0.08,143.436
7.13876,2.09935,1.73456,1.02733,2.32,3,3.96,166.967
4.42542e-08,10.1549,1.4686e-07,8.15262,0,1.96,0.28,54.18
5.15144,1.60725e-08,2.53145,4.66375,1.72,0,2.32,63.6708
5.35674,8.70937,4.53703e-08,0.91118,0.84,1.52,2.48,80
5.24001,1.1102e-07,0.534553,9.84118,3.24,1.48,2.72,174.222
4.68375e-08,1.8525,4.61475,5.53275,3.08,0.88,0.2,116.096
6.03116,5.87176,1.24977e-08,3.09768,0.2,1.88,1.8,60.32
3.7219,4.38004e-07,9.16625e-09,13.7968,3.32,2.76,2.28,232.803
1.36314e-08,4.29352,2.34734,8.73132,2.16,0,3.4,84.1765
1.05392e-08,2.23872,4.57613,5.18516,2.92,2.68,2.12,163.327
1.58589e-08,5.32117,4.26788,2.41094,1.4,2.44,2.4,101.892
2.38872e-08,2.17785,1.84069,12.5507,3.32,3.88,1,254.82
4.30565,3.46475,2.73126,1.49834,0.96,3.04,2.76,106.218
8.91787e-09,0.827702,4.71723,6.45507,0.8,0.44,2.16,40.96
9.44158,0.811265,0.942241,0.804912,0.32,2.72,1.48,78.4532
6.9821,3.85953e-08,1.06694e-08,8.36317,0.32,1.96,3.04,72
5.42654,9.39066,8.44641e-09,3.35104e-07,1.96,2.96,2.68,161.247
7.82571,4.27476,1.20568e-08,1.96993,0.88,2.24,2.6,99.36
0.941353,2.0845,4.21501,4.75914,2.6,0.64,2.96,107.07
7.29303,7.70939e-09,9.90147e-09,7.84495,3.76,1.92,2.48,207.7
2.54339,9.95081,6.93702e-09,4.15174,1.96,0.2,1.76,90.9283
3.84779,11.3159,1.21915e-08,0.385105,3.88,1.84,1.28,210.801
4.10979,0.714155,0.894007,9.93314,1.48,3.72,3.84,162.519
9.30821,2.10493,2.4344e-08,2.03057,0.64,2.04,0.4,76.16
4.59951,9.33617,4.97874e-08,1.44196,2.84,2.28,3.48,185.541
6.05074,5.7839,0.45088,1.9652,3.72,2.4,1.44,209.082
3.11654,0.224228,0.0416544,14.4331,0.32,1.68,1.88,61.1653
0.858376,11.4196,1.04177e-07,5.24645,2.08,2.64,3.44,176.068
8.35068,4.5374,6.90638e-09,0.788561,0.32,1.8,0.92,59.68
5.57683,2.15649e-08,2.48509e-08,10.7053,2.64,1.68,0.72,148.8
1.22115,1.83928,1.02727,13.0795,0.68,2.4,0.24,81.2678
7.39311,6.58126,4.5243e-09,1.34159e-08,3.32,2.88,1.28,207.083
2.73898,13.23,8.17917e-09,1.28778e-07,0.6,3.04,0.24,100.743
3.47305,1.07004,3.30378,4.15314,0.32,2.76,2.8,74.253
1.52173e-07,9.69773,2.34243,2.43951,0.8,0.92,1.72,50.1948
5.62285,5.22332,1.35282,0.927201,0.12,2.08,0.12,48.3225
4.25871e-08,9.84033,7.83578e-08,8.51961,0.92,2.12,1.72,106.38
4.76912,2.16247,7.2525e-09,9.52858,3.44,1.24,0.56,169.835
1.36426,6.45306e-08,2.75801,10.3715,2.76,3.24,2.16,194.876
1.2337,3.70021,3.9365,3.12959,0.6,0.16,1.36,26.624
5.05551,8.83901,0.473237,2.15055e-08,2.24,3.4,2.04,176.928
1.09691e-08,2.16602,4.5834,5.25058,0.76,2.68,1.36,80.4096
9.63266e-09,7.5338,0.872629,8.88356,1.52,2.32,0.64,122.576
6.38029,0.0593594,1.23204e-08,9.29692,0.28,2.32,3.68,81.6
1.21292,3.39467,5.63641e-09,14.018,3.64,2.4,2.88,246.97
4.29836,6.57002,5.75582e-09,5.17104,2.28,1.08,2.12,126.191
6.0494,8.01019,0.214666,2.25e-07,2.44,2.64,1.96,167.471
1.05294e-07,9.16304,3.49117,2.11879e-07,2,2.92,0.12,131.749
0.971742,4.89798,5.3864e-08,12.6661,0.96,0.4,1.52,56.0048
4.02813,7.65782,3.57702e-08,4.35233,3.08,2.04,1.92,184.076
1.84523e-07,8.06067,1.27672e-08,10.5959,1.88,2.84,2.12,170.82
8.97022e-08,5.28541,0.427779,12.6929,2.12,3.72,0.92,196.1
2.3275e-07,1.92805,4.6072,5.46476,2.72,3.28,2.08,171.785
2.86123e-08,7.74435,1.42646e-08,10.9649,2.6,0,3.72,133.74
4.66867,2.16329,6.18042e-09,9.69504,2,0.48,1.64,98.08
1.33746,11.9297,3.23005e-07,3.85287,0.36,1.76,1.36,65.1076
2.86042e-08,3.6217e-08,3.29274,11.2194,0.2,2.28,1.92,58.8667
3.60029,3.54781,1.51067,3.34124,1.96,1.44,3.2,114.419
2.40659,3.99171,3.30417,2.5209,1.84,1.52,3.52,102.997
5.63354,9.09495,4.33665e-08,5.12593e-08,0.24,3.24,3.56,102.303
4.27777e-08,8.58815,5.73208e-09,9.98049,2.28,0.12,3.2,120.24
0.443159,11.7483,8.19717e-09,5.5551,2.32,1.52,3.24,157.804
5.24981e-08,7.48888,1.42986e-07,11.263,2.96,3.52,1.32,234.491
5.69098,0.74944,0.826018,7.43797,0.28,2.84,3.48,88.4606
3.1917,8.41537,1.35232e-08,4.86257,0.36,2.68,2.24,88.7241
8.44867e-08,4.72105,1.18692,11.327,3.56,3.48,1.92,256.082
2.97733,9.56892,1.00521e-08,3.87404,0.48,0.28,0.56,28.16
6.62591,6.78739e-08,4.38807e-08,8.95682,3.88,2.48,2.72,229.281
2.717,4.14237,7.10785e-08,10.6389,1.68,0.28,1.96,82.3615
1.5144e-08,8.84291e-08,4.8,7.2,3.72,1.2,0.56,146.816
3.02609,1.93477,2.42933,6.22108,0.92,3.84,3.32,129.637
3.78513,3.95336,3.60173e-07,9.0792,2.28,1.76,2.32,144.645
4.84191,3.41506,7.34471e-09,7.94591,1.68,0.56,2.68,91.399
1.35178e-08,4.88962,2.0247,8.89623,3.24,3.16,1.48,212.425
2.32668,4.41128,1.91373e-07,10.9757,2.56,3.16,1.48,196.009
8.03267,5.50905e-06,2.10551e-08,6.61221,0.56,1.16,2.64,60.8
6.73873,4.37478,2.75855e-07,3.66486,0,3.68,1.52,94.4
4.65943e-08,7.44864,3.62255,1.64979,3.32,0.48,2.52,128.18
6.85051,4.88532,2.53248e-08,2.88294,3,2.64,0.04,183.52
9.98706,5.15964e-07,4.9483e-08,3.3549,1.28,2.04,2.84,111.52
1.19657e-06,8.62913,1.29987e-08,9.93268,0.2,0.28,0.8,20.16
7.60611,4.03512,2.50465e-08,2.61552,1.16,0.72,1.4,69.28
2.55294e-08,4.32395,1.46585,11.0465,2.48,3.76,1.6,205.565
2.02153,8.76831,1.74031e-08,6.40109,3.44,0.52,0.4,160.532
3.1111e-08,14.9139,0.311541,1.7697,3.92,0.04,3.68,189.99
4.9919,5.0064,4.81702e-08,5.83937,2.84,2.36,3.32,185.804
3.78641e-08,8.17321,2.07522e-08,10.4646,1.36,2.12,2.64,130.32
6.41067e-08,9.64426,3.06043,0.587212,1.08,3.8,0.44,123.693
3.90837,2.97526,4.41955e-09,10.0149,2.08,2.12,3.24,150.091
6.14151,4.68267e-08,1.28372e-08,9.76414,2.36,0.48,0.96,109.76
3.72684,1.03682,1.89588,7.52328,2.4,2.48,3.32,156.462
6.32376,4.71503,1.48483,2.29773e-08,0.44,0,2.68,23.9641
