x1,x2,x3,x4,omega1,h
3.19004e-08,11.0178,5.53496e-07,7.14592,3,225
2.40555e-08,6.39577,7.92366e-08,12.5383,3,226.604
3.66226,11.9111,1.27052e-08,4.31314e-08,5,296.689
10.3905,1.65046e-07,0.643801,0.965702,5,274.85
2.4182,3.85745,0.501121,10.133,5,305.734
5.11461e-08,8.49202,1.11428e-07,10.0926,5,316.508
6.36386,9.2443e-08,6.74218e-09,9.39357,7,399.542
1.91813,7.61396,2.64532,0.865987,5,271.02
5.82048,4.77184,8.76565e-09,4.73206,3,201.539
2.76484,10.7866,7.87587e-09,2.80752,3,211.176
6.38192,2.53459,0.421792,5.28167,7,373.577
0.00391954,11.1446,2.62179,4.79943e-08,3,190.897
0.815728,3.83353,4.30637e-08,14.168,7,444.429
0.993571,2.73372,4.1292,4.14351,5,259.459
4.38955e-07,0.625576,4.73744,6.63698,5,271.235
7.00927,4.62421e-08,9.16398e-08,8.31789,5,291.917
2.07944e-08,2.03909e-08,2.56388,13.163,7,436.031
1.99848,5.60003,5.22531e-07,10.1358,5,309.417
1.01107,3.43955,2.08089,8.75305,3,194.546
1.21053,11.9085,2.1669e-08,4.08924,7,398.947
7.3333,4.32672,0.326483,1.85937,5,279.409
8.67321,2.49253e-08,1.01001e-07,5.54466,5,281.99
4.36907,3.67393,0.859895,6.13892,7,380.559
4.49573e-07,4.08677,4.39132,3.52191,7,359.044
4.70053,1.63809,2.75598,2.9054,3,178.224
10.987,1.10702e-07,8.05464e-09,1.68825,7,361.519
6.05304,4.32767e-08,2.37878,3.56817,7,358.083
3.12449,5.13228e-08,0.751202,12.7893,5,320.855
4.67905,1.02253,1.45514e-08,11.0086,5,307.395
1.09345e-06,9.27828,0.426081,8.03912,5,309.757
11.0948,5.94978e-08,2.09265e-08,1.50871,5,280
1.74165e-08,7.4626,3.34786e-07,11.2936,5,320.224
7.18714,6.14724,0.318619,1.02319e-07,3,197.698
1.49099,1.94728e-07,4.20361,6.30541,7,375.952
12,3.85772e-08,7.37559e-09,5.367e-08,3,200
2.19522e-07,9.42156e-07,4.8,7.2,5,274.6
3.16442e-08,8.59209,1.29223,6.52995,5,298.317
0.269106,8.85252,1.35262e-08,9.22355,3,223.654
0.650474,5.37982,1.2014,9.43568,5,302.739
5.0911,2.8994,5.05412e-09,8.1322,5,291.784
1.03074e-06,9.83151,3.32486e-08,8.52991,5,315.168
4.84638,6.1572,5.09859e-09,4.73929,3,204.461
5.57292,0.429901,7.61178e-08,10.2102,5,302.264
6.68158,7.59773,2.09609e-06,3.94748e-08,7,371.592
3.17686,4.14044,5.02604e-09,9.87472,7,407.212
1.51473,5.35379,5.1034e-09,11.2294,5,316.215
7.6275,3.75795,5.77354e-09,2.90322,7,368.732
0.946849,6.56581,0.932583,8.27491,7,399.471
1.20606,4.07966,3.90961,2.80467,7,354.973
8.67458,1.59899e-08,1.41254e-08,5.54236,3,200
1.8032e-08,10.1438,2.3793,1.82078,3,194.069
2.18243,5.58402,2.39327e-08,9.84792,5,307.489
6.46959,3.32483e-08,1.18561e-08,9.21735,7,397.956
3.70414,3.8699,0.704564,7.43272,5,289.041
7.73257,3.26996e-06,1.45248e-08,7.11238,7,383.407
5.7981,8.85985,7.50726e-09,2.67213e-07,3,201.606
9.43918e-09,2.43793,4.55621,5.00586,3,174.867
3.16508e-08,5.78956,4.22104,1.98939,7,352.116
3.4386e-08,15.9423,2.20674e-08,1.40071,7,405
1.36856e-08,6.80377,0.455975,10.8463,3,219.813
6.71512,7.54983,1.13488e-07,1.99414e-08,5,284.855
0.480945,5.24345,4.08328,2.19233,5,259.705
3.93542,6.4673,1.22051,2.6411,7,369.833
1.32324e-07,2.85665e-06,2.11575,14.358,7,446.338
4.77251,10.325,5.13097e-08,1.78245e-07,7,381.137
0.727863,7.92154,1.58261,5.32481,5,290.787
2.66139,4.54016,1.3483,6.67204,3,196.185
3.59225,0.6218,3.30092,4.48503,5,262.823
4.13606,3.70665,2.11889e-07,8.78215,5,297.263
0.618574,12.7865,4.04402e-08,4.05146,7,401.907
3.12397,0.964463,5.30029e-08,13.6682,5,328.496
6.63919,2.14241,0.0137674,6.39849,3,200.563
1.57431e-08,1.59049,3.95968,7.58527,7,388.022
3.90368e-08,9.7591,1.92676e-08,8.61439,7,408.445
3.37379,12.3232,2.81523e-08,1.07132e-06,5,298.131
4.81059,2.19061,1.73331e-08,9.42664,7,400.94
7.13876,2.09935,1.73456,1.02733,7,351.531
3.47747,2.91571e-08,1.20461e-08,14.2042,3,225.703
6.25197,2.65138,5.17905e-09,6.48677,7,382.32
5.28959e-08,8.68856,2.78459,2.43776,5,278.8
3.71044,7.00231,0.0635332,5.47715,5,295.622
8.33618,1.85047,0.950093,1.4139,3,192.399
9.04195e-09,6.5138,4.14862,1.33758,3,177.041
4.68375e-08,1.8525,4.61475,5.53275,3,174.938
3.67086,5.02358,0.983404,5.39865,3,197.17
8.53076e-08,10.7482,0.368932,6.47659,3,220.204
8.90312e-08,3.78055e-08,4.8,7.2,5,274.6
9.03586,9.53078e-09,8.97324e-09,4.94024,3,200
6.53097,7.8129,4.13164e-08,2.41023e-08,5,285.407
8.55783,2.65655e-08,9.86093e-09,5.73694,3,200
1.58589e-08,5.32117,4.26788,2.41094,5,259.928
10.2372,5.46981e-08,7.24311e-09,2.93801,7,362.644
7.44611,5.51993e-08,8.47253e-08,7.58982,7,385.985
2.51338,11.3787,3.53263e-08,2.53583,5,302.433
6.43081,2.16025e-08,1.77438e-08,9.28198,3,202.354
1.19076e-08,7.44147,1.26835e-08,11.3183,5,320.351
9.61556,3.62349e-08,1.61353e-08,3.97407,3,200
6.9821,3.85953e-08,1.06694e-08,8.36317,7,390.269
3.37805,5.31318,5.64276e-08,8.17121,5,299.419
1.12026e-07,0.956323,3.30456,10.0721,3,196.059
3.96301,2.06961,9.28361e-08,10.9804,5,308.989
6.92179,2.01055e-08,4.05576e-09,8.46369,3,201.617
5.61559,0.326324,9.47354e-09,10.26,3,204.502
5.17486,9.7502,1.02869e-07,2.73287e-08,3,203.475
2.54339,9.95081,6.93702e-09,4.15174,5,302.283
3.47326,2.46402,1.25843e-07,11.3365,7,418.261
1.18314e-08,0.293418,2.4357,13.1625,3,216.045
1.31306e-07,3.02352,4.49765,4.47883,3,174.797
1.56109e-08,12.822,3.15466e-08,5.04104,5,315
3.53509,4.02043,0.260347,8.72341,5,297.045
3.87391,0.695867,2.50977,6.0389,7,372.526
6.05074,5.7839,0.45088,1.9652,5,281.888
5.35288,7.29251,0.869416,0.252166,3,193.934
4.26295,2.30459,2.40818e-08,10.2064,3,207.644
9.74416,2.13227,0.477029,3.84472e-08,3,196.184
2.83728e-07,12.497,2.03255,2.12539e-08,5,288.577
3.1272,1.38722,2.5043e-08,13.1696,3,220.532
2.70968,9.67569,1.03009e-08,4.19557,3,211.452
1.22115,1.83928,1.02727,13.0795,3,219.013
5.3704,0.177765,1.38815,7.14019,7,380.739
1.56609e-08,4.0555,4.39445,3.55005,3,175.123
12,6.4034e-07,9.47593e-09,3.08878e-08,5,280
4.61954,3.23584,5.19601e-09,8.52562,5,294.77
0.643626,2.29367,3.3311,7.36841,5,280.867
8.70515,1.30265,1.10757e-08,3.97166,7,366.877
5.62285,5.22332,1.35282,0.927201,3,189.69
1.75374,2.32859,1.25044e-08,14.3604,3,229.737
5.49664,9.29051,1.43588e-08,4.44194e-08,7,377.517
2.48342,2.14657,2.14703,7.63123,7,386.901
0.996646,4.5723,6.30475e-09,13.0046,7,434.327
2.73332,1.93879,3.51279,3.8151,7,358.558
3.58326,1.7629e-08,0.362141,13.0622,3,218.594
5.05551,8.83901,0.473237,2.15055e-08,5,284.628
9.12223,3.90912,1.19421e-08,0.235653,3,200
0.501641,5.54268,4.04508,1.9106,7,351.816
5.09818,9.13984,0.314956,2.39434e-08,3,200.241
4.67359,8.90843,7.25096e-09,1.81751,5,291.632
7.01192,4.07179,2.44817e-08,3.56305,7,370.881
5.11914e-08,14.7344,0.543318,1.36106,5,307.937
4.29836,6.57002,5.75582e-09,5.17104,5,293.508
5.05784,4.09148,4.60116e-08,6.79688,5,290.677
7.42227e-08,8,4,3.04395e-07,5,263
7.26723,4.19102,9.24924e-09,2.99842,3,200.366
0.895719,6.30203,1.12153,8.16402,3,205.942
5.48049,3.29089,4.17996e-08,7.02648,7,386.969
1.93884,5.38865,2.16448e-07,10.4819,5,311.341
1.84523e-07,8.06067,1.27672e-08,10.5959,5,316.939
8.51891,1.12619e-07,3.41609e-08,5.80182,5,282.222
6.36457,5.20149,2.75619e-08,3.32397,7,373.611
4.85737e-08,11.0633,3.15683e-08,7.09278,3,225
9.67355,0.064922,0.924088,1.33744,3,192.607
5.06159,1.66405e-07,0.209807,11.0045,7,414.251
3.3056e-08,12.0116,1.52832e-08,5.98651,5,315
1.33746,11.9297,3.23005e-07,3.85287,5,308.313
7.26388,6.76588,6.16419e-08,7.14392e-07,3,200.368
5.48846,1.5742,6.5509e-09,9.01601,7,397.182
2.64897,0.774621,2.11683,9.03645,3,192.525
7.17274,1.13173,2.84241e-08,6.72508,5,285.177
1.18293e-08,7.6942,7.7489e-08,11.0234,5,318.835
10.269,1.15399,0.576993,1.28253e-07,7,355.961
4.27777e-08,8.58815,5.73208e-09,9.98049,7,415.471
7.67426e-08,7.47144,3.81938e-08,11.2833,5,320.171
1.9992,8.26427,2.25881,1.00287,5,275.64
4.72411,7.2815,1.36178,1.86131e-08,3,190.063
10.4587,2.20185,1.58919e-08,1.44879e-07,7,360.771
1.441e-08,7.56258,4.09155e-08,11.177,5,319.625
3.05151,4.06912,1.06334e-07,10.1668,7,409.019
8.44867e-08,4.72105,1.18692,11.327,5,314.122
1.82162e-08,0.0344726,3.08066,11.7447,3,204.68
9.33137e-08,11.4168,5.89533e-08,6.68041,3,225
1.17649e-07,10.9043,1.53137,3.19465,7,385.092
4.16574,5.61264,3.07928e-07,6.50902,3,206.503
11.3692,0.901092,1.13588e-08,4.56835e-08,7,360.315
5.47346,1.68832e-07,1.55431e-08,10.8776,3,207.739
3.02609,1.93477,2.42933,6.22108,7,375.947
3.52751,8.019,0.212988,4.19734,5,294.594
4.40393,3.27035,8.7347e-09,8.8447,5,296.935
3.84547,0.9737,0.800198,10.321,7,409.176
2.76392,1.50925e-08,2.04186,9.94852,7,406.579
4.04579,9.78418,1.70046e-08,1.84214,5,294.771
2.41874,10.8846,1.34243e-08,3.27007,5,302.906
8.03267,5.50905e-06,2.10551e-08,6.61221,5,282.951
9.82339,1.62386,4.36982e-08,1.73319,3,200
2.6078e-08,10.6723,6.39264e-09,7.54897,3,225
2.94112,3.18248,3.38574e-08,11.3852,3,212.171
1.43716e-08,11.6809,1.58007,2.15876,5,294.459
3.35444e-08,4.47796,1.0943,11.8576,5,317.341
7.45507,6.17564,3.79797e-08,0.369966,3,200.272
1.19657e-06,8.62913,1.29987e-08,9.93268,3,225
1.00812e-08,0.998332,4.62007,6.51509,3,177.653
7.08889e-07,6.01201,3.92997,2.50607,5,263.968
8.86192e-07,5.62491,0.58077,11.8889,3,219.244
2.45854e-08,6.95118,2.14189,6.17858,3,197.155
10.6399,1.37697e-08,0.544021,0.816032,5,275.648
3.09557,0.4198,2.61049,7.38964,7,384.327
4.9919,5.0064,4.81702e-08,5.83937,7,382.051
0.737609,6.31101,7.27609e-09,11.4078,5,319.02
9.63777,1.57481,0.787411,8.02215e-06,5,273.701
3.47498,9.97394,1.1473e-08,2.57211,5,297.625
4.69731,10.4324,1.27172e-08,3.22105e-08,5,291.513
