x1,x2,x3,x4,omega1,omega2,omega3,omega4,omega5,omega6,omega7,omega8,omega9,omega10,omega11,omega12,h
49.8579,2.07433,3.2077,31.782,0,2,14,8,10,4,0,12,12,18,6,10,1595.6
24.96,42.0714,54.6192,45.7319,12,0,6,0,8,12,10,18,16,10,0,12,408.187
39.0911,4.36115,37.8981,53.0824,4,0,14,6,12,14,18,6,4,18,14,14,659.139
54.2792,30.2714,30.9775,19.142,4,8,14,8,4,4,6,2,8,16,18,0,440.313
56.4588,3.00504,45.6909,46.2123,18,8,4,0,18,0,10,6,4,18,10,8,441.555
21.0609,30.7964,35.4668,50.7589,16,2,0,12,16,12,14,14,18,16,4,6,479.603
32.067,29.9088,57.3216,44.8976,8,16,4,8,10,8,4,2,2,10,16,0,335.151
1.61258,42.5892,56.2738,14.3946,10,16,12,16,2,4,14,2,0,4,0,8,540.659
35.4065,57.3245,33.3688,8.88909,2,6,16,12,2,12,6,6,8,2,10,16,461.399
7.60273,39.0752,37.298,48.1844,18,8,2,10,4,8,8,18,2,2,6,12,564.778
5.53042,9.73191,4.26381,21.9203,4,8,6,4,0,18,8,2,18,8,2,16,5641.53
15.0075,51.6516,28.2757,30.3574,4,2,14,8,6,8,16,18,12,4,12,18,666.173
51.0762,17.359,32.2455,30.8661,12,16,14,8,18,12,8,16,12,14,18,18,4150.67
53.1619,31.4992,27.7994,3.91163,2,8,10,16,8,14,16,14,16,14,14,0,2404.99
12.9319,26.7614,18.9439,30.8796,14,8,12,12,2,18,16,16,10,2,8,18,5225.06
46.4011,43.6401,19.1507,25.0634,16,8,8,16,6,4,18,2,12,12,0,0,314.141
4.86365,23.3294,57.1296,56.8527,12,12,4,16,14,16,0,0,14,12,4,4,671.353
14.6433,49.1836,8.1873,23.8886,6,4,12,4,14,14,8,4,2,0,2,18,512.401
41.7746,45.1764,40.1712,38.0058,12,2,16,2,18,4,4,2,4,12,12,14,405.187
8.58272,9.70126,29.1195,51.6135,0,10,4,6,12,2,14,10,10,10,6,14,555.982
23.5811,26.812,28.5538,23.2699,16,10,14,6,2,10,6,10,10,8,4,6,430.834
19.2936,27.6261,31.0287,39.6813,4,0,6,4,12,12,10,14,14,18,8,18,739.289
32.7682,55.0709,15.9968,58.2052,8,12,18,2,12,6,10,10,16,0,4,12,523.63
59.492,41.7407,16.7707,45.2318,4,16,12,8,16,0,2,14,14,8,10,14,513.25
4.01099,32.6414,23.3839,12.9496,2,0,8,0,2,18,14,14,8,0,10,10,1804.91
31.2576,46.5528,13.2411,3.31673,6,12,12,14,10,4,16,6,12,6,0,2,1130.57
41.7382,34.6666,40.8699,19.8705,0,2,14,4,0,8,8,10,8,2,4,16,331.161
2.13526,7.35041,58.4013,11.2965,0,18,10,0,16,0,6,8,10,14,12,10,3251.25
48.7829,53.8749,14.6752,45.637,6,12,12,2,10,18,6,16,18,4,4,8,627.119
4.95039,41.2449,22.5186,50.1724,12,8,4,12,2,4,2,10,0,2,10,8,423.475
40.3142,40.8999,45.4062,2.18206,2,18,0,0,8,14,18,4,6,14,8,14,653.099
2.85832,39.7196,7.49669,56.9494,4,4,10,12,12,6,4,4,12,2,14,2,425.929
26.5674,58.6308,28.0645,19.7434,8,12,18,0,10,14,8,0,8,10,14,0,472.369
31.0624,6.31109,50.4946,22.1137,8,14,4,2,6,18,18,4,0,2,10,2,359.83
32.3703,27.3043,24.1015,14.4264,8,6,14,10,16,14,16,12,6,18,12,6,4541.63
15.8198,22.9693,4.86033,27.5858,0,8,8,4,2,4,16,10,12,16,4,14,3079.56
10.2693,36.3601,3.82822,20.8495,4,14,8,0,4,12,8,2,18,2,14,18,3846.2
3.70388,31.1582,55.749,13.2309,4,10,16,16,14,6,16,12,0,0,2,14,1247.65
51.6712,58.6343,26.6712,2.05459,4,0,12,14,8,4,14,6,4,4,8,8,384.567
51.0318,52.0509,18.6963,8.90342,10,0,14,10,16,6,4,10,8,8,18,18,649.215
2.46449,20.6168,6.60117,5.7923,18,12,8,18,12,16,10,10,2,18,16,2,11138.7
3.97742,8.44263,55.267,13.2994,10,0,10,16,10,12,14,12,0,2,12,6,2798.1
30.3582,49.8754,55.1542,36.0983,6,10,2,0,12,14,14,0,10,18,18,8,470.148
36.6443,40.0779,29.7075,34.295,14,10,8,2,18,10,4,10,12,12,0,10,438.203
22.9781,33.1098,35.8301,36.6666,10,8,2,10,14,0,0,10,6,0,4,2,260.12
36.3323,16.8062,42.2022,31.8294,18,14,10,8,12,12,8,8,8,14,10,4,525.951
15.0853,39.0909,0.288937,56.1562,18,4,8,10,14,18,12,16,10,4,2,16,2903.7
26.4759,20.6746,17.8239,45.4573,4,16,4,18,10,2,8,14,8,2,14,0,495.881
9.73223,9.57479,3.46338,8.95508,6,6,0,10,8,4,2,18,16,8,6,16,7236.64
46.2028,10.2478,34.3465,1.88423,8,6,16,8,8,12,6,0,16,16,18,18,4591.64
44.9487,52.847,20.2851,11.3729,16,10,16,4,16,10,6,16,10,18,8,10,1774.42
33.7567,48.7828,52.6915,46.1616,14,14,16,0,14,16,6,0,2,8,0,12,439.277
42.5153,14.2812,23.458,58.5528,12,16,16,8,2,6,6,12,2,0,2,8,434.93
44.4455,55.9706,18.0073,8.77174,12,12,18,6,16,14,8,0,8,8,8,8,585.96
26.4161,35.1405,25.9726,22.0922,2,0,18,8,4,18,16,2,2,2,6,10,398.181
0.576473,28.7867,38.3435,38.7897,6,12,8,2,12,18,12,8,16,16,14,6,2905.54
8.64855,36.135,0.335292,55.2498,12,14,6,6,6,6,12,2,4,12,16,6,815.845
45.3513,39.9584,0.691836,47.6928,6,10,6,4,4,16,2,12,0,8,6,2,446.821
12.147,33.971,49.8914,25.3531,10,4,8,6,10,14,16,4,8,6,0,0,305.164
26.691,35.7556,44.8987,51.8503,16,4,2,6,18,10,6,8,12,18,8,0,379.161
16.7277,43.1877,35.4275,50.2249,2,2,12,16,10,12,18,0,18,2,18,10,467.213
57.1052,7.03427,24.9604,50.1825,16,12,14,12,6,10,12,6,16,8,18,4,693.098
53.2035,11.7707,9.77748,50.1598,18,6,10,10,16,18,12,4,18,10,2,4,1182.71
34.4608,1.93616,21.0836,51.3049,12,12,16,12,6,16,12,2,0,12,12,8,1852.46
1.98021,41.4559,29.2327,34.1604,6,12,10,0,14,4,8,2,0,16,18,10,618.676
51.4293,13.0446,0.420476,46.9485,16,8,12,4,8,4,18,4,18,8,2,18,1480.08
54.1834,40.1343,16.6552,23.2024,0,18,12,10,2,2,16,10,12,10,10,2,541.314
46.7795,43.1523,39.9818,34.8582,6,16,4,2,14,12,4,16,0,2,2,6,371.182
50.057,47.5189,50.9441,16.9332,6,2,4,2,4,12,8,16,10,6,8,12,403.834
1.98463,55.7593,6.36259,15.9772,4,2,10,0,18,14,2,2,8,14,4,8,1165.63
54.4709,11.874,6.8464,47.4684,8,14,4,4,4,6,4,18,14,12,10,6,556.529
47.1282,23.6071,43.799,49.8931,12,0,14,2,16,12,6,6,4,6,0,18,425.592
38.5641,26.1225,21.1389,20.9494,16,2,6,18,6,6,0,10,14,16,8,16,1579.78
22.4197,7.9976,15.7118,7.56186,4,18,12,14,2,14,4,12,16,6,12,2,6713.14
48.5474,56.6516,2.73122,3.61574,4,14,0,8,18,4,2,12,0,16,2,2,599.486
6.48292,58.468,52.0271,40.2648,16,2,16,4,6,10,12,0,18,16,8,0,498.987
22.5901,51.5706,47.6323,36.5681,16,4,14,10,4,4,0,8,8,18,0,10,358.281
26.9464,8.26293,35.148,32.556,6,12,12,12,4,0,18,4,12,10,6,2,471.116
50.3878,26.9232,38.5257,41.6356,8,16,0,6,2,4,16,18,16,18,16,14,538.51
27.5089,41.3481,16.7409,24.5567,16,8,2,8,18,8,6,10,4,16,18,2,1094.6
47.9158,0.016521,37.6677,20.7859,14,0,6,2,16,4,14,8,14,14,10,12,1362.91
17.5497,57.7152,60,59.9455,8,8,10,6,16,2,6,6,16,0,8,14,484.22
59.3781,47.907,33.2867,8.80029,14,6,14,2,12,10,4,4,10,10,14,12,573.275
39.7135,24.167,35.1016,33.3272,2,10,4,10,6,12,0,16,16,6,2,14,427.208
34.1063,43.8224,22.4384,21.9386,8,12,18,12,4,0,12,6,0,2,12,8,351.156
28.5207,6.60793,59.5307,32.9709,6,0,10,8,2,6,12,10,16,10,18,0,480.247
11.4155,39.8607,39.3764,58.3916,12,2,8,0,8,18,8,16,18,10,2,16,581.493
27.615,25.8495,51.9683,11.9178,8,2,2,4,18,10,16,0,18,18,8,4,562.653
10.5784,10.6891,11.8831,40.0964,6,14,16,12,14,12,6,2,12,18,2,0,4574.44
39.6556,12.2348,10.2208,0.964475,12,10,6,8,6,0,16,8,2,12,18,16,5501.78
10.3546,29.2229,48.8651,56.1965,2,2,6,10,18,4,0,0,16,16,18,10,448.731
27.274,53.4272,50.6119,15.0214,10,10,8,14,6,2,10,6,16,18,0,6,452.175
11.0981,45.3976,37.2404,38.7207,14,16,8,14,8,10,10,0,8,14,4,6,509.942
8.41554,20.0142,18.5471,21.2596,6,2,2,8,10,2,18,8,0,2,10,18,2127.72
26.3592,39.5168,19.5347,0.0998609,2,6,6,12,12,0,6,0,10,8,4,4,404.675
6.08766,15.2738,26.2506,14.5806,18,2,6,18,6,2,18,2,0,18,14,4,4887.26
15.677,22.5024,17.9702,44.7313,4,10,16,16,12,10,14,18,16,14,4,18,5750.74
37.7485,58.524,32.6429,49.8401,18,14,8,12,8,2,2,16,10,18,16,4,465.203
53.7903,32.9687,5.08637,46.619,0,2,18,14,16,0,10,6,18,2,4,10,557.546
54.7064,10.2736,48.9199,16.9697,14,14,0,16,0,18,4,8,12,14,18,12,668.21
39.5347,20.1363,31.3278,27.173,8,18,14,6,2,18,4,10,6,4,16,4,484.23
14.6535,42.1368,12.8292,39.6706,12,12,0,16,6,10,18,14,14,14,8,8,2824.46
9.81304,47.7623,0.694718,36.1204,8,4,6,6,12,18,14,18,0,18,0,8,2353.63
35.3782,0.668588,16.9657,23.243,18,2,10,0,10,6,8,6,8,10,18,12,3603.3
31.7799,4.37129,28.1967,22.7373,14,10,10,4,2,2,6,16,4,2,8,12,741.066
18.0731,34.5983,33.1153,8.59466,0,8,2,4,8,6,18,16,6,8,16,18,2151.43
53.6019,47.4694,57.8518,15.0447,10,8,14,0,4,2,6,6,4,2,16,4,347.324
59.8729,24.0314,35.2596,48.3813,4,10,14,10,8,6,16,8,0,18,18,10,476.762
58.6791,59.0953,35.0223,19.9721,8,0,10,2,10,18,12,4,10,16,4,6,432.379
47.352,5.44473,9.60045,14.8215,10,0,16,12,10,4,4,2,4,2,14,16,2143.68
50.5169,37.6799,46.1036,23.7993,14,10,6,16,6,10,14,18,18,16,14,12,691.682
15.5952,27.842,0.00234925,39.4839,10,8,16,8,12,16,10,4,10,8,16,8,4835.69
55.6062,12.8796,46.8814,15.2197,0,10,12,12,14,12,18,4,14,0,0,0,485.186
12.5252,30.3834,53.8663,50.104,4,14,4,8,18,18,16,4,14,12,8,8,580.773
38.8258,44.5201,49.7695,16.3281,18,18,18,2,4,6,14,14,14,8,8,12,632.355
47.9135,22.6307,14.8075,49.7223,14,2,2,14,18,0,8,16,12,18,8,18,607.186
12.6962,24.2224,6.53428,21.7234,0,4,0,16,0,18,16,16,10,14,18,8,5960.25
35.5623,36.2016,40.0511,59.2458,0,4,6,16,16,18,16,8,16,14,8,8,505.475
42.231,35.9268,41.458,4.42273,14,0,12,2,16,12,6,4,8,12,4,2,481.287
45.6496,13.1175,25.2119,16.2421,16,4,4,14,14,18,14,14,2,4,0,16,2534.22
38.4213,26.1463,1.66803,14.5487,12,16,0,12,12,8,2,14,0,8,10,2,1950.13
22.101,51.2279,47.2028,16.7138,6,12,6,10,14,0,14,0,2,8,16,6,417.278
8.4509,14.2648,48.0936,49.338,16,14,16,16,8,2,10,10,6,14,18,4,2193.88
40.655,9.02227,17.271,54.4024,8,16,12,0,14,8,18,6,14,2,16,6,746.997
34.4584,22.1165,12.602,2.09826,0,10,18,16,10,4,0,10,12,2,0,6,2132.81
30.9605,33.9276,41.7851,41.3392,14,0,4,14,6,6,6,18,12,12,6,2,339.14
59.2672,43.7072,6.67047,30.6495,16,8,14,2,6,0,8,16,18,10,10,10,681.885
30.478,24.5486,27.7926,9.75198,8,8,10,10,2,14,10,6,10,0,18,14,2209.71
25.4588,26.4834,25.8859,3.54275,12,0,12,2,4,18,14,16,4,6,12,16,3960.94
1.74763,32.4333,6.95686,43.9732,6,12,10,4,14,12,10,6,10,2,8,16,3098.57
29.3246,18.2484,41.2103,42.0141,12,10,10,14,10,14,18,14,18,6,12,2,1499.99
11.2582,35.8042,21.4297,49.256,16,8,16,2,8,4,0,10,16,6,8,12,588.096
49.7428,46.9305,0.741824,47.8429,8,0,16,2,18,16,16,0,18,4,14,0,738.794
41.194,7.78516,45.2537,18.9707,12,0,10,12,0,6,10,6,12,16,14,14,616.528
23.3854,38.8724,47.8696,3.78407,0,2,10,16,4,12,4,16,0,6,10,16,484.511
47.4095,11.1526,2.47839,14.2715,18,10,18,6,16,4,8,2,16,14,0,0,4161.61
3.70484,47.1742,17.3094,39.0744,12,2,12,6,4,6,0,18,4,12,4,18,597.389
20.7409,52.1569,0.393378,11.5106,6,2,14,4,10,0,4,8,18,18,10,16,3230.41
8.34421,21.1061,11.0265,41.5937,6,4,10,16,4,10,2,2,12,16,8,4,1547.36
44.8265,39.747,47.6299,56.0356,0,0,6,4,4,10,6,6,16,4,18,6,351.172
19.3689,32.5935,59.0347,36.7419,10,14,16,6,10,6,2,0,12,2,8,10,491.186
52.3467,11.7549,45.3661,48.0795,0,18,10,12,12,2,4,2,8,18,2,6,449.445
30.2285,30.4084,53.9103,10.5472,16,16,6,10,12,0,16,2,8,14,6,12,644.259
24.0248,44.5885,58.8267,20.7534,8,4,8,8,18,18,8,2,12,10,18,10,610.266
14.6014,5.81195,1.46054,7.2602,6,18,16,0,2,2,14,14,14,6,6,2,7495.78
15.4051,14.3076,48.6261,58.9728,14,14,0,10,18,10,10,18,10,0,4,6,688.941
51.1161,29.0056,57.3943,5.76045,4,2,0,12,10,12,10,6,18,16,0,2,510.242
46.8276,11.2247,13.9769,9.26269,10,2,8,2,6,2,12,8,12,4,8,10,782.757
24.4248,48.0019,8.5164,35.2053,12,12,8,0,0,6,14,18,8,18,4,4,635.225
34.3382,42.1061,36.4536,15.839,10,16,12,10,16,12,10,6,14,2,2,10,504.813
7.80214,30.4882,15.7516,17.9542,14,2,6,0,2,0,2,14,6,4,16,4,511.297
11.9225,41.9401,6.64395,4.94093,4,2,10,2,18,16,18,12,6,4,12,2,4556.27
2.61235,45.8174,13.6622,0.788539,0,2,2,4,16,16,4,6,8,4,12,12,2858.32
21.5814,19.3153,32.405,10.5348,16,4,14,2,0,16,12,0,10,18,18,16,4712.04
29.7881,7.89135,29.8673,20.45,18,2,14,18,2,12,12,18,0,14,2,8,3610.54
32.2781,37.4358,22.8243,28.3915,6,6,12,14,18,14,0,16,10,8,6,12,681.675
28.4193,43.1785,0.573876,45.1334,18,14,14,4,14,0,12,10,18,6,0,2,620.597
57.7096,24.8509,9.28618,12.7924,12,0,12,12,8,18,14,10,14,0,6,8,1723.9
17.8065,54.6497,18.1014,30.6466,6,16,10,2,10,16,0,8,14,6,8,6,531.039
1.49954,2.83117,3.50176,54.1351,12,2,4,18,18,10,18,8,0,4,18,18,7451.94
56.9067,31.0174,30.2744,22.3146,2,10,18,6,4,6,0,18,8,12,8,10,464.878
3.62575,38.0539,31.4232,10.0757,12,10,8,0,16,2,18,10,12,12,2,16,4014.92
58.0836,10.5485,48.8377,15.8788,6,14,12,12,2,14,10,18,4,0,10,6,519.815
25.0324,0.000375956,6.3187,58.3486,18,10,0,8,18,12,2,16,8,0,2,0,1283.68
22.7857,38.7481,59.1667,35.2076,8,10,18,6,0,16,12,4,8,4,8,4,385.177
16.6257,8.20932,34.049,40.9498,4,8,12,4,4,18,0,6,8,2,12,4,464.89
16.606,37.1473,35.1188,21.1125,14,14,14,4,6,18,2,2,2,2,16,0,442.617
13.4798,54.4354,15.3756,57.0164,18,6,8,2,4,10,10,16,6,18,0,16,639.628
56.1547,52.3429,6.57553,54.9896,4,18,2,6,10,0,8,6,4,10,16,18,454.78
1.46199,31.6724,57.5309,22.0299,10,16,2,2,12,2,14,12,16,16,4,12,1302.67
20.0632,1.55464,28.8157,45.813,18,10,18,4,14,10,8,2,2,14,10,10,3006.76
20.7636,14.3873,8.12094,48.7202,18,8,16,14,2,0,6,16,6,14,12,6,3081.49
30.1465,31.6452,21.2032,21.8778,6,2,18,2,10,4,10,4,2,0,10,18,367.177
42.4471,9.01395,57.522,51.9805,6,4,12,8,18,8,16,18,16,8,0,4,589.307
13.8799,0.118307,8.39304,1.8996,12,18,16,18,18,0,6,2,4,4,4,10,9192.8
18.3536,8.53537,53.8886,6.43885,2,12,2,2,2,12,10,6,10,8,12,14,1088.07
36.0465,13.9721,48.4161,10.0362,12,18,12,2,12,2,18,16,0,12,12,0,1261.98
28.2427,14.9252,48.6448,13.1491,4,0,2,8,16,12,8,2,10,18,8,4,509.659
29.7207,15.4597,31.1654,56.8303,4,12,4,4,6,0,6,0,16,16,2,12,305.135
51.2176,53.4193,38.5434,38.5232,2,4,10,2,2,18,16,12,0,16,4,0,336.478
15.6298,9.98109,52.1909,33.2141,0,16,4,0,4,16,8,10,10,8,14,0,395.798
8.25878,25.2901,11.5206,6.13438,16,18,10,12,12,12,0,4,2,8,18,4,6933.82
4.18552,25.9694,27.9334,36.1836,6,8,12,8,6,12,6,14,8,8,12,10,2060.53
32.1337,11.8176,18.2059,46.9374,12,8,18,4,2,10,8,18,18,8,16,12,3070.8
39.5751,39.4127,10.0355,6.58386,18,2,0,2,6,14,6,8,18,14,8,0,823.588
42.4437,11.9738,3.81444,29.2713,4,14,10,8,10,2,12,10,2,16,18,12,3553.86
32.9309,29.1773,2.4723,31.9538,6,14,16,8,4,18,4,2,14,18,16,10,3888.64
6.60074,58.6269,23.0198,14.4476,14,10,18,2,0,14,10,8,0,0,0,0,457.479
